##################################################################################################
# Global oscillation parameters of the SYD pipeline for KASC WG1 stars, based on 2015 analysis 
# of all SC data prepared by Rasmus Handberg & Mikkel Lund. 
#
# Solar reference values of SYD pipeline:
# Dnu(Sun): 135.1 +/- 0.1 muHz
# numax(Sun): 3090 +/- 30 muHz
# NOTE: uncertainties are the scatter of 111 30d subsets of VIRGO green channel data 
# (see Huber et al. 2011)
#
# range_low + range_up: minimum + maximum frequency used to calculate Dnu
# numax + sig_numax: frequency of maximum power + 1-sigma uncertainty
# Dnu + sig_Dnu: large frequency separation + 1-sigma uncertainty
# Length: Length of input SC time series in days
# DetFlag: Status flag of detection (0=good,1=numax unreliable,2=Dnu unreliable)
# SrcFlag: Source of detection (0=reprocessed 2015 data, 1=Chaplin et al. 2014 analysis)
#
# DH  Jul 30 2015
##################################################################################################
    KIC    |  range_low |  range_up  |   numax    | sig_numax |   dnu    | sig_dnu | Length  | DetFlag | SrcFlag
   5629080  |   248.516  |   607.484  |   428.630  |    6.925  |  27.780  |  0.230  |   30.0  |  0      |  0
   5636956  |   584.710  |  1429.290  |  1013.296  |   36.572  |  55.235  |  1.394  |   26.1  |  0      |  0
   5683538  |   403.548  |   986.452  |   683.725  |  119.299  |  41.980  |  1.670  |   28.9  |  0      |  0
   5686856  |   627.677  |  1534.323  |  1083.381  |   28.967  |  61.443  |  1.648  |    9.7  |  0      |  0
   5689219  |   744.387  |  1819.613  |  1299.947  |  116.201  |  66.404  |  1.535  |   25.1  |  0      |  0
   5689820  |   403.548  |   986.452  |   691.126  |    3.942  |  41.126  |  0.030  |  496.4  |  0      |  0
   5723165  |   334.452  |   817.548  |   572.374  |    3.541  |  34.500  |  0.114  |  661.6  |  0      |  0
   5773155  |   688.065  |  1681.936  |  1186.800  |   41.577  |  61.134  |  1.774  |   29.6  |  0      |  0
   5773345  |   638.710  |  1561.290  |  1103.771  |    9.225  |  57.551  |  0.069  |  422.9  |  0      |  0
   5774694  |  2032.258  |  4967.742  |  3576.976  |  338.802  | 139.880  |  5.009  |   87.7  |  1      |  0
   5822889  |   174.194  |   425.806  |   300.250  |    6.562  |  19.708  |  0.126  |  317.2  |  0      |  0
   5892169  |   285.677  |   698.323  |   493.997  |    7.698  |  29.750  |  0.464  |   29.4  |  0      |  0
   5939450  |   351.290  |   858.710  |   585.040  |   22.999  |  34.119  |  0.064  |  173.6  |  0      |  0
   5950854  |  1130.516  |  2763.484  |  1924.536  |   25.841  |  96.857  |  0.178  |  401.9  |  0      |  0
   5955122  |   499.935  |  1222.064  |   860.142  |    3.930  |  49.214  |  0.066  | 1039.2  |  0      |  0
   5961597  |   730.452  |  1785.548  |  1261.854  |   70.498  |  59.760  |  1.238  |   25.9  |  0      |  0
   6034893  |   195.677  |   478.323  |   335.788  |    9.115  |  20.899  |  1.095  |   29.9  |  0      |  0
   6035199  |   190.452  |   465.548  |   326.487  |    8.009  |  23.738  |  0.810  |   29.9  |  0      |  0
   6047087  |  1131.097  |  2764.903  |  1967.063  |  110.686  |  93.524  |  1.217  |   31.0  |  0      |  0
   6049366  |   645.847  |  1599.133  |  1083.243  |  101.550  |  60.360  |  3.128  |   31.1  |  0      |  1
   6064910  |   418.645  |  1023.355  |   766.587  |    9.299  |  44.178  |  0.127  |  523.2  |  0      |  0
   6106120  |   347.311  |   847.000  |   593.323  |   21.744  |  35.087  |  0.977  |   33.5  |  0      |  1
   6106415  |  1312.258  |  3207.742  |  2218.771  |    7.882  | 104.252  |  0.030  |  743.8  |  0      |  0
   6116048  |  1223.419  |  2990.581  |  2102.099  |    7.300  | 100.891  |  0.024  | 1048.0  |  0      |  0
   6119013  |   235.742  |   576.258  |   405.751  |    8.784  |  26.402  |  0.378  |   28.8  |  0      |  0
   6129877  |  1135.742  |  2776.258  |  1939.249  |   76.193  |  92.943  |  2.664  |   29.4  |  0      |  0
   6145937  |   378.000  |   924.000  |   653.556  |   12.244  |  41.340  |  0.968  |   29.4  |  0      |  0
   6225718  |  1336.064  |  3265.936  |  2339.137  |   10.631  | 105.829  |  0.029  |  955.0  |  0      |  0
   6232600  |  1189.742  |  2908.258  |  1933.004  |   87.414  |  94.626  |  0.902  |   25.2  |  0      |  0
   6287060  |   912.774  |  2231.226  |  1600.911  |  204.647  |  80.146  |  2.224  |   30.0  |  0      |  0
   6290627  |   187.548  |   458.452  |   319.911  |    5.761  |  22.336  |  0.165  |   25.9  |  0      |  0
   6308642  |   425.613  |  1040.387  |   730.729  |   19.432  |  42.511  |  0.325  |   31.0  |  0      |  0
   6313425  |   360.000  |   880.000  |   628.947  |    6.383  |  37.176  |  0.113  |  567.0  |  0      |  0
   6363365  |   945.871  |  2312.129  |  1632.631  |   88.023  |  86.218  |  0.886  |   24.6  |  0      |  0
   6370489  |   515.613  |  1260.387  |   913.540  |   13.281  |  52.168  |  0.235  |   87.8  |  0      |  0
   6430804  |   211.355  |   516.645  |   363.387  |    5.670  |  25.289  |  0.121  |   29.5  |  0      |  0
   6442183  |   682.839  |  1669.161  |  1171.210  |    4.403  |  64.908  |  0.023  |  955.9  |  0      |  0
   6448798  |   379.175  |   984.033  |   741.317  |   36.676  |  42.916  |  4.014  |   30.3  |  0      |  1
